name,org_name,legal_name,homepage_url,cb_url,Industry,SubIndustry,ProductServiceType,category_list,category_groups_list,country_code,country_name,country_name_full,region,city,investment_type,total_funding_usd,raised_amount_usd,num_funding_rounds,funding_year,announced_on,last_funding_on,rank,status,founded_on,founded_year,employee_count,closed_on,post_money_valuation_usd,post_money_valuation,Post_Money_Value,investor_name,investor_type,investor_types,is_lead_investor,investor_count,Unicorn,went_public_on,went_public_year,stock_symbol,acquired_on,acquirer_name
Boston Power,Boston Power,Boston-Power Inc.,http://www.boston-power.com,https://www.crunchbase.com/organization/bostonpower,儲能,電池循環經濟,儲能系統整合,Battery,Electronics,Manufacturing,Consumer Electronics,Energy,Hardware,USA,美國,United States of America,Massachusetts,Westborough,Series A,370600000,8000000,9,2006,2006-11-06,2015-02-02,227611,operating,2005-01-01,2005,150,,,,"Venrock",organization,venture_capital,,2,,,,,,
Tesla Energy,Tesla Energy,Tesla Energy Inc.,https://www.tesla.com/energy,https://www.crunchbase.com/organization/tesla-energy,儲能,電池技術,電動車充電,Energy Storage,Electric Vehicle,Clean Technology,Energy,Transportation,Hardware,USA,美國,United States of America,California,Palo Alto,Series B,5000000000,2000000000,15,2010,2010-06-29,2023-12-15,1,operating,2003-07-01,2003,140000,,,,"Elon Musk",person,angel,true,1,Unicorn,2010-06-29,2010,TSLA,,,,,
BYD Energy,BYD Energy,BYD Company Limited,https://www.byd.com,https://www.crunchbase.com/organization/byd,儲能,電池技術,電動車製造,Energy Storage,Electric Vehicle,Manufacturing,Energy,Transportation,Hardware,CHN,中國,People's Republic of China,Guangdong,Shenzhen,Series C,8000000000,1000000000,12,2008,2008-03-15,2024-01-20,5,operating,1995-02-10,1995,280000,,,,"Warren Buffett",person,angel,true,1,Unicorn,2002-12-31,2002,BYD,,,,,
CATL,CATL,Contemporary Amperex Technology Co. Limited,https://www.catl.com,https://www.crunchbase.com/organization/catl,儲能,電池技術,電池製造,Energy Storage,Battery Technology,Manufacturing,Energy,Hardware,Manufacturing,CHN,中國,People's Republic of China,Fujian,Ningde,Series D,12000000000,5000000000,8,2011,2011-04-20,2023-08-30,3,operating,2011-12-16,2011,95000,,,,"Goldman Sachs",organization,investment_bank,true,1,Unicorn,2018-06-11,2018,300750,,,,,
LG Energy Solution,LG Energy Solution,LG Energy Solution Ltd.,https://www.lgensol.com,https://www.crunchbase.com/organization/lg-energy-solution,儲能,電池技術,電池製造,Energy Storage,Battery Technology,Manufacturing,Energy,Hardware,Manufacturing,KOR,韓國,Republic of Korea,Seoul,Seoul,Series A,3000000000,1000000000,5,2020,2020-12-01,2023-05-15,8,operating,2020-12-01,2020,25000,,,,"LG Corporation",organization,corporate_venture_capital,true,1,,,,,,
Panasonic Energy,Panasonic Energy,Panasonic Energy Co. Ltd.,https://www.panasonic.com/global/energy,https://www.crunchbase.com/organization/panasonic-energy,儲能,電池技術,電池製造,Energy Storage,Battery Technology,Manufacturing,Energy,Hardware,Manufacturing,JPN,日本,Japan,Osaka,Osaka,Series B,2000000000,800000000,6,2017,2017-03-10,2022-11-20,12,operating,2017-01-01,2017,18000,,,,"Panasonic Corporation",organization,corporate_venture_capital,true,1,,,,,,
Samsung SDI,Samsung SDI,Samsung SDI Co. Ltd.,https://www.samsungsdi.co.kr,https://www.crunchbase.com/organization/samsung-sdi,儲能,電池技術,電池製造,Energy Storage,Battery Technology,Manufacturing,Energy,Hardware,Manufacturing,KOR,韓國,Republic of Korea,Gyeonggi,Suwon,Series A,1500000000,500000000,4,2019,2019-06-15,2023-03-10,15,operating,2019-01-01,2019,12000,,,,"Samsung Electronics",organization,corporate_venture_capital,true,1,,,,,,
Northvolt,Northvolt,Northvolt AB,https://www.northvolt.com,https://www.crunchbase.com/organization/northvolt,儲能,電池技術,電池製造,Energy Storage,Battery Technology,Manufacturing,Energy,Hardware,Manufacturing,SWE,瑞典,Kingdom of Sweden,Stockholm,Stockholm,Series C,6000000000,2000000000,7,2016,2016-10-03,2023-09-28,4,operating,2016-03-01,2016,3500,,,,"Volkswagen Group",organization,corporate_venture_capital,true,1,,,,,,
QuantumScape,QuantumScape,QuantumScape Corporation,https://www.quantumscape.com,https://www.crunchbase.com/organization/quantumscape,儲能,電池技術,固態電池,Energy Storage,Battery Technology,Research,Energy,Hardware,Research,USA,美國,United States of America,California,San Jose,Series D,2000000000,1000000000,6,2010,2010-05-15,2023-12-01,6,operating,2010-01-01,2010,800,,,,"Bill Gates",person,angel,true,1,Unicorn,2020-11-27,2020,QS,,,,,
Solid Power,Solid Power,Solid Power Inc.,https://www.solidpowerbattery.com,https://www.crunchbase.com/organization/solid-power,儲能,電池技術,固態電池,Energy Storage,Battery Technology,Research,Energy,Hardware,Research,USA,美國,United States of America,Colorado,Louisville,Series C,800000000,300000000,5,2012,2012-08-20,2023-06-15,18,operating,2012-01-01,2012,200,,,,"BMW Group",organization,corporate_venture_capital,true,1,,,,,,
